anio_mes,dolar_promedio,dolar_variacion_pct,inflacion_mensual
2011-02,4.0,0.0,0.7
2011-03,4.0,0.0,0.8
2011-04,4.0,0.0,0.8
2011-05,4.0,0.0,0.7
2011-06,4.0,0.0,0.7
2011-07,4.0,0.0,0.8
2011-08,4.0,0.0,0.8
2011-09,4.0,0.0,0.8
2011-10,4.0,0.0,0.6
2011-11,5.0,25.0,0.6
2011-12,5.0,0.0,0.8
2012-01,5.0,0.0,0.9
2012-02,5.0,0.0,0.7
2012-03,5.0,0.0,0.9
2012-04,5.0,0.0,0.8
2012-05,5.451612903225806,9.03225806451613,0.8
2012-06,6.0,10.059171597633142,0.7
2012-07,6.064516129032258,1.0752688172043001,0.8
2012-08,6.0,-1.0638297872340385,0.9
2012-09,6.0,0.0,0.9
2012-10,6.0,0.0,0.8
2012-11,6.0,0.0,0.9
2012-12,6.387096774193548,6.451612903225801,1.0
2013-01,7.225806451612903,13.131313131313128,1.1
2013-02,7.964285714285714,10.220025510204088,0.5
2013-03,8.03225806451613,0.8534644871980523,0.7
2013-04,8.466666666666667,5.408299866131183,0.7
2013-05,9.32258064516129,10.109220218440429,0.7
2013-06,8.066666666666666,-13.471741637831602,0.8
2013-07,8.516129032258064,5.571847507331373,0.9
2013-08,8.903225806451612,4.545454545454541,0.8
2013-09,9.0,1.0869565217391353,0.8
2013-10,9.870967741935484,9.677419354838701,0.9
2013-11,10.0,1.3071895424836555,0.9
2013-12,9.580645161290322,-4.193548387096779,1.4
2014-01,11.419354838709678,19.191919191919204,3.6
2014-02,12.035714285714286,5.3974979822437374,3.4
2014-03,11.0,-8.60534124629081,2.6
2014-04,10.5,-4.545454545454541,1.8
2014-05,11.225806451612904,6.912442396313367,1.4
2014-06,12.0,6.896551724137923,1.3
2014-07,12.290322580645162,2.4193548387096753,1.4
2014-08,13.35483870967742,8.661417322834652,1.3
2014-09,14.733333333333333,10.322061191626396,1.4
2014-10,15.0,1.8099547511312375,1.2
2014-11,13.333333333333334,-11.111111111111105,1.1
2014-12,13.096774193548388,-1.774193548387093,1.0
2015-01,14.0,6.896551724137923,1.1
2015-02,13.071428571428571,-6.632653061224492,0.9
2015-03,13.0,-0.5464480874316946,1.3
2015-04,12.733333333333333,-2.051282051282055,1.1
2015-05,13.0,2.0942408376963373,1.0
2015-06,13.033333333333333,0.2564102564102555,1.0
2015-07,14.161290322580646,8.654401452025407,1.3
2015-08,15.32258064516129,8.200455580865595,1.2
2015-09,15.833333333333334,3.3333333333333437,1.2
2015-10,16.0,1.0526315789473717,1.1
2015-11,15.1,-5.625000000000002,2.0
2015-12,14.516129032258064,-3.8666951506088454,3.9
2016-01,14.0,-3.5555555555555562,4.1
2016-02,14.827586206896552,5.9113300492610765,2.7
2016-03,15.580645161290322,5.078769692423113,3.0
2016-04,15.0,-3.7267080745341574,3.4
2016-05,15.0,0.0,4.2
2016-06,14.3,-4.666666666666663,3.1
2016-07,15.096774193548388,5.571847507331373,2.0
2016-08,15.129032258064516,0.21367521367521292,0.2
2016-09,15.466666666666667,2.231698649609104,1.1
2016-10,16.0,3.4482758620689724,2.4
2016-11,15.6,-2.500000000000002,1.6
2016-12,16.548387096774192,6.079404466501237,1.2
2017-01,17.0,2.729044834308003,1.3
2017-02,16.071428571428573,-5.462184873949571,2.5
2017-03,16.0,-0.4444444444444584,2.4
2017-04,16.0,0.0,2.6
2017-05,16.0,0.0,1.3
2017-06,16.5,3.125,1.2
2017-07,17.612903225806452,6.74486803519061,1.7
2017-08,18.0,2.19780219780219,1.4
2017-09,18.0,0.0,1.9
2017-10,18.0,0.0,1.5
2017-11,18.0,0.0,1.4
2017-12,18.129032258064516,0.7168458781362075,3.1
2018-01,19.225806451612904,6.049822064056953,1.8
2018-02,20.0,4.026845637583887,2.4
2018-03,20.870967741935484,4.354838709677411,2.3
2018-04,21.0,0.6182380216383399,2.7
2018-05,24.29032258064516,15.668202764976957,2.1
2018-06,27.366666666666667,12.664895971668887,3.7
2018-07,28.93548387096774,5.7325841813681055,3.1
2018-08,30.419354838709676,5.128205128205132,3.9
2018-09,39.13333333333333,28.646164722516797,6.5
2018-10,37.935483870967744,-3.0609441116667524,5.4
2018-11,36.5,-3.7840136054421825,3.2
2018-12,38.483870967741936,5.435262925320372,2.6
2019-01,39.03225806451613,1.4249790444258226,2.9
2019-02,38.42857142857143,-1.5466351829988123,3.8
2019-03,41.29032258064516,7.446936083463229,4.7
2019-04,44.266666666666666,7.208333333333328,3.4
2019-05,46.0,3.915662650602414,3.1
2019-06,45.06666666666667,-2.0289855072463725,2.7
2019-07,43.774193548387096,-2.867913723993132,2.2
2019-08,54.38709677419355,24.244657332350794,4.0
2019-09,61.333333333333336,12.77184657967576,5.9
2019-10,65.61290322580645,6.977559607293116,3.3
2019-11,66.9,1.9616519174041391,4.3
2019-12,72.70967741935483,8.68412170307149,3.7
2020-01,77.41935483870968,6.477373558118904,2.3
2020-02,78.3103448275862,1.150862068965508,2.0
2020-03,82.51612903225806,5.370662348546196,3.3
2020-04,98.56666666666666,19.451394318477977,1.5
2020-05,125.45161290322581,27.27590081490614,1.5
2020-06,126.16666666666667,0.5699837147510101,2.2
2020-07,130.7741935483871,3.651936762261898,1.9
2020-08,134.19354838709677,2.6147015293537246,2.7
2020-09,137.7,2.612980769230755,2.8
2020-10,170.93548387096774,24.136153864174116,3.8
2020-11,161.0,-5.812417437252315,3.2
2020-12,153.38709677419354,-4.728511320376683,4.0
2021-01,158.61290322580646,3.4069400630915014,4.0
2021-02,149.03571428571428,-6.038089427351179,3.6
2021-03,143.3548387096774,-3.8117545202260295,4.8
2021-04,145.2,1.2871287128712883,4.1
2021-05,153.29032258064515,5.571847507331373,3.3
2021-06,162.4,5.942760942760961,3.2
2021-07,177.6451612903226,9.387414587637055,3.0
2021-08,180.83870967741936,1.797712002905394,2.5
2021-09,184.23333333333332,1.8771554287073222,3.5
2021-10,189.1290322580645,2.65733612704786,3.5
2021-11,200.7,6.11802831315027,2.5
2021-12,200.5483870967742,-0.07554205442241724,3.8
2022-01,211.7741935483871,5.597555090879847,3.9
2022-02,213.42857142857142,0.7811989990207824,4.7
2022-03,202.0,-5.35475234270415,6.7
2022-04,199.06666666666666,-1.4521452145214497,6.0
2022-05,204.2258064516129,2.591664325994425,5.1
2022-06,217.16666666666666,6.336545042910546,5.3
2022-07,289.80645161290323,33.44886490233456,7.4
2022-08,293.06451612903226,1.1242208370436213,7.0
2022-09,281.3333333333333,-4.002935241240147,6.2
2022-10,287.258064516129,2.1059471028894716,6.3
2022-11,302.0,5.1319483436271796,4.9
2022-12,326.2258064516129,8.02179021576588,5.1
2023-01,368.64516129032256,13.003065361415977,6.0
2023-02,377.85714285714283,2.498874943747187,6.6
2023-03,382.258064516129,1.164705164949087,7.7
2023-04,420.96666666666664,10.126300984528825,8.4
2023-05,481.38709677419354,14.352782510300166,7.8
2023-06,490.23333333333335,1.837655520561099,6.0
2023-07,518.5806451612904,5.782412149579863,6.3
2023-08,670.9032258064516,29.372978352824063,12.4
2023-09,738.9333333333333,10.140077571561367,12.7
2023-10,974.0645161290323,31.820351334675976,8.3
2023-11,955.6666666666666,-1.8887711396653017,12.8
2023-12,989.3548387096774,3.5250964816544217,25.5
2024-01,1150.0,16.23736550374959,20.6
2024-02,1118.448275862069,-2.743628185907032,13.2
2024-03,1017.9032258064516,-8.98969154189273,11.0
2024-04,1017.8333333333334,-0.006866318068976529,8.8
2024-05,1125.483870967742,10.57644057321847,4.2
2024-06,1292.8333333333333,14.869112448648124,4.6
2024-07,1436.774193548387,11.133752240432159,4.0
2024-08,1355.1612903225807,-5.680287382128412,4.2
2024-09,1263.0,-6.800761723399196,3.5
2024-10,1206.774193548387,-4.4517661481878745,2.7
2024-11,1140.0,-5.533279871692054,2.4
2024-12,1138.225806451613,-0.1556310130164107,2.7
2025-01,1226.2903225806451,7.73699872467053,2.2
2025-02,1221.9642857142858,-0.35277428082898243,2.4
2025-03,1256.6129032258063,2.8354852851748547,3.7
2025-04,1274.3333333333333,1.4101741325460937,2.8
2025-05,1173.3870967741937,-7.921493844557126,1.5
2025-06,1192.0,1.5862542955326298,1.6
2025-07,1293.225806451613,8.492097856678926,1.9
2025-08,1333.0645161290322,3.08056872037914,1.9
2025-09,1425.6666666666667,6.9465618068158985,2.1
2025-10,1474.3548387096773,3.4151161124393647,2.3
2025-11,1433.6666666666667,-2.759727236261522,2.5
2025-12,1477.5806451612902,3.0630536034380595,2.8
2026-01,1502.258064516129,1.6701233489793799,2.9
2026-02,1437.857142857143,-4.286941317218318,2.9
2026-03,1420.483870967742,-1.2082752431774146,3.4
2026-04,1407.5,-0.9140456455092538,2.6
2026-05,1416.9354838709678,0.6703718558414007,2.1
2026-06,1472.8333333333333,3.944981976854467,1.9
